path,label,synset,class_name,image_sha256
imagenette2-160/val/n01440764/n01440764_10040.JPEG,0,n01440764,tench,664b010cf9322e1aafb79cfc4c1833d16afa64a7b944c8599c7dd1f3fd2982f9
imagenette2-160/val/n01440764/n01440764_10042.JPEG,0,n01440764,tench,632142982c74fc75883792e4c502f95b78ef608ea7032b7b2471ff633f09e253
imagenette2-160/val/n01440764/n01440764_10110.JPEG,0,n01440764,tench,1ba8bcf4a403f79ffb5ad6fa4514b81fe01b7a7a2ac505977b3aff787f14bf40
imagenette2-160/val/n01440764/n01440764_10150.JPEG,0,n01440764,tench,4f2b0f8f7e7593ffd1eee01db869d8fda76ed5fc51070f70321e478807b6a6cc
imagenette2-160/val/n01440764/n01440764_10162.JPEG,0,n01440764,tench,2c60a2da083b6dab1420a2a75fd69e98618dce932869fa4780a154d7733291ab
imagenette2-160/val/n01440764/n01440764_10281.JPEG,0,n01440764,tench,4c2acffba08f8792242a0cd0ec4fb7b078406e33b967fdc7e5be63c61ff57970
imagenette2-160/val/n01440764/n01440764_10331.JPEG,0,n01440764,tench,ceb2d3b04ed104d39bcc48e61a7ac035d744ae9229f69e467390f46550689ab1
imagenette2-160/val/n01440764/n01440764_10361.JPEG,0,n01440764,tench,a0304ed4937388717f3058c5d58f83571795fa6a9b3ebd515d1dd8bc2a92e3df
imagenette2-160/val/n01440764/n01440764_10410.JPEG,0,n01440764,tench,99e1eac0f2bd48cc7c475c978d8612cc68bcfc5c8a42697f5c265e67febd247a
imagenette2-160/val/n01440764/n01440764_10482.JPEG,0,n01440764,tench,b6a31b6264f9b1a979bdbf3d0a28779859528dacd59b74e53e47f468eed6c9c0
imagenette2-160/val/n01440764/n01440764_10531.JPEG,0,n01440764,tench,2cf47c3b601b07240d88da00d04745f9963e3cb53957da862c1b0525dea56236
imagenette2-160/val/n01440764/n01440764_10550.JPEG,0,n01440764,tench,9871391be17f4018fe4b2213b5d60e113a43576a3325ad581f7bd0f11abb5771
imagenette2-160/val/n01440764/n01440764_10592.JPEG,0,n01440764,tench,917867323710069b9dd41bb941b5f4f8ff12098ffc2730eb37228d81a8f2b767
imagenette2-160/val/n01440764/n01440764_10812.JPEG,0,n01440764,tench,e45a4156f219ddf5bc6069abb5d3241db8b7fbfaa94fae88d968bb4a2786aaef
imagenette2-160/val/n01440764/n01440764_11151.JPEG,0,n01440764,tench,78d621d9d455ba98da1b7051fa2dd6f5c5f83b783fc72eee400ef25304e7f1d5
imagenette2-160/val/n01440764/n01440764_11170.JPEG,0,n01440764,tench,72a73f3a920c29a8266a9276f7108e599a4a42367f96f8ce22211c1e0aee4d54
imagenette2-160/val/n01440764/n01440764_11350.JPEG,0,n01440764,tench,4dd28f3127dc15219776684a3861001e92d42dca7b6be38785d555b642f76986
imagenette2-160/val/n01440764/n01440764_11650.JPEG,0,n01440764,tench,f37a96a8e4a8d14ee979cce57752b01307428b83f2fb56606df612f62ce586ce
imagenette2-160/val/n01440764/n01440764_11750.JPEG,0,n01440764,tench,c38c49fc004c7d962fbe7a93d125a8da7643741f31bcf6b776f7203635db2bb5
imagenette2-160/val/n01440764/n01440764_11830.JPEG,0,n01440764,tench,34dce0b35ac43efd122eefa93d811334cc88f3989fab9e9ed354d2cc0df0301f
imagenette2-160/val/n01440764/n01440764_11930.JPEG,0,n01440764,tench,be05c17f662980134e2b7518a1eee7281fd24c5f870b9ad79d29a06e2e713b73
imagenette2-160/val/n01440764/n01440764_12021.JPEG,0,n01440764,tench,b396093df2249c3d3c7af725709334f40d819c7df4e3b90b3f6916bfe7c8f62e
imagenette2-160/val/n01440764/n01440764_12040.JPEG,0,n01440764,tench,d527c4ee0177d36ff643a26eb391fdc179f32ef590588f0ecb269c71753d5614
imagenette2-160/val/n01440764/n01440764_12100.JPEG,0,n01440764,tench,3c47dd58dc538c6121414c3043ad0d4a365bf25880df7bdfd7734d7951ca2566
imagenette2-160/val/n01440764/n01440764_12111.JPEG,0,n01440764,tench,895afda81112542d72f89ef48c347ed2f7ada1d832988a9f1b02e219a321ae18
imagenette2-160/val/n01440764/n01440764_12502.JPEG,0,n01440764,tench,ea79209d63580fb0bbbc3b4a3c38ded43f309abfc56ca160669a385964cc9306
imagenette2-160/val/n01440764/n01440764_12732.JPEG,0,n01440764,tench,d9e838195d850841b1aa8a386b293e3613aa6c36c07065fa11532461e4cadc27
imagenette2-160/val/n01440764/n01440764_1310.JPEG,0,n01440764,tench,b0afeb309574b713d4eaea940dfcf6f2078cc1e01141474ff49e0b6dc0e73dbf
imagenette2-160/val/n01440764/n01440764_13122.JPEG,0,n01440764,tench,c50318d3fb695e6c6467e5b4f6df4c0e6a31131723338724d5adfc83a619f94e
imagenette2-160/val/n01440764/n01440764_13161.JPEG,0,n01440764,tench,20f25ae3ead2292f1a17c359c65823006475fefdf4919c8a0e756916f579af67
imagenette2-160/val/n01440764/n01440764_13452.JPEG,0,n01440764,tench,cc0f5cb2cfc633447ec7704a33f6459b81270182e7300020862c3dbf4967746e
imagenette2-160/val/n01440764/n01440764_13581.JPEG,0,n01440764,tench,2cd9674f827adbde7902595f17c57c1ccd70f65335da6c59f0b93aea5fa81cfd
imagenette2-160/val/n01440764/n01440764_14232.JPEG,0,n01440764,tench,3bf8d2a2ed8be389196a4fe7d493139e5e45af1ff6dba4bdb7ce13efa978e195
imagenette2-160/val/n01440764/n01440764_14411.JPEG,0,n01440764,tench,a1029f83018a10922a63927b214313a23fa0b40961388d519093d9eea51ada51
imagenette2-160/val/n01440764/n01440764_14650.JPEG,0,n01440764,tench,4048365d64d02100f8f25204873d60f71a0b9c3702a6025c679d6d08c2420046
imagenette2-160/val/n01440764/n01440764_14771.JPEG,0,n01440764,tench,155905d8dc9feaed62660130f7720bb39521aa510b6471e0517521b12004f69f
imagenette2-160/val/n01440764/n01440764_14802.JPEG,0,n01440764,tench,67ef5bdaf48db12d2a30d1efe98a204237a413baedb044d884bb61c18d1a6341
imagenette2-160/val/n01440764/n01440764_14891.JPEG,0,n01440764,tench,023deb1248211468448f0d1a9c9e947929eb5e13d2123afd3f7acabfb0a899cb
imagenette2-160/val/n01440764/n01440764_1552.JPEG,0,n01440764,tench,676c38c038683f049f6ef2a7dd0696805d2078dff92eb4c3e649831e5e0d933c
imagenette2-160/val/n01440764/n01440764_16051.JPEG,0,n01440764,tench,24390312a638325cea3e0827ebabd995b12b035f23598aa9fe8b5f4e0c9432b1
imagenette2-160/val/n01440764/n01440764_16072.JPEG,0,n01440764,tench,edeee65014b402e228dd3f7dcf29d3351f3b89dbaf7d4a4c1ff8c132d9b9bd57
imagenette2-160/val/n01440764/n01440764_16982.JPEG,0,n01440764,tench,ea7875adadc1256e38065609e14afbd2b154a7d1e0154c7d07a6703820874990
imagenette2-160/val/n01440764/n01440764_17050.JPEG,0,n01440764,tench,f96afd552b417d87d4f7c768240d20c4b9d4a340b039644e41414b84a01981e3
imagenette2-160/val/n01440764/n01440764_172.JPEG,0,n01440764,tench,8dfd7d97f8d3b514ff4c0f5d310fc82215e0450e3ce9130bb39a10e30995b8ab
imagenette2-160/val/n01440764/n01440764_17782.JPEG,0,n01440764,tench,8cc64f87f08ef169a4f5140ae7ff9fa98ba38c9154908b7f474d7746afc31373
imagenette2-160/val/n01440764/n01440764_19302.JPEG,0,n01440764,tench,f66427ce917ce405a73b3d4bc340d03ee6e50fb5889b92c8c63881321326aa12
imagenette2-160/val/n01440764/n01440764_1980.JPEG,0,n01440764,tench,9411f79e9d290882f599a2cd52de5d1645846053eb04f5c18707ec68cac8a1e5
imagenette2-160/val/n01440764/n01440764_20592.JPEG,0,n01440764,tench,0fb9569ebf3eadc84d0e48314e2eb5288b7e8a53171d40b94f141950e4192414
imagenette2-160/val/n01440764/n01440764_20650.JPEG,0,n01440764,tench,51a58e85eb04e1df528ed5f60bbb235ba44fe396bf07261876e9da0eafaec199
imagenette2-160/val/n01440764/n01440764_20922.JPEG,0,n01440764,tench,4532a8fd12025469c27ff67f797902b607e9c7e50f63bf57e8ebab9edd8ec286
imagenette2-160/val/n01440764/n01440764_2290.JPEG,0,n01440764,tench,0e3084250514eb8a88e6719b74b7d89f1c18310eb3ef847bfef595a76daa947d
